num_labels,accuracy
1,
2,
3,
4,1.0
5,0.75
6,0.8333333333333334
7,0.611111111111111
8,0.8888888888888888
9,0.7083333333333333
10,0.8
11,0.7
12,0.8333333333333333
13,0.7666666666666666
14,0.7
15,0.7999999999999999
16,0.8333333333333333
17,0.6666666666666666
18,0.55
19,0.6166666666666667
20,0.65
21,0.61
22,0.63
23,0.68
24,0.74
25,0.72
26,0.6933333333333334
27,0.74
28,0.7133333333333334
29,0.6599999999999999
30,0.7333333333333333
31,0.7714285714285715
32,0.5952380952380951
33,0.6952380952380952
34,0.6476190476190475
35,0.7428571428571429
36,0.7535714285714287
37,0.7071428571428571
38,0.7107142857142857
39,0.6642857142857143
40,0.6
41,0.6555555555555556
42,0.5194444444444445
43,0.6
44,0.6805555555555556
45,0.7333333333333332
46,0.6755555555555556
47,0.6466666666666667
48,0.7555555555555555
49,0.6733333333333333
50,0.8
51,0.7454545454545455
52,0.7454545454545455
53,0.6363636363636364
54,0.6654545454545454
55,0.6
56,0.7318181818181818
57,0.5212121212121212
58,0.6045454545454546
59,0.646969696969697
60,0.6833333333333333
61,0.6884615384615385
62,0.6602564102564102
63,0.6820512820512821
64,0.6717948717948719
65,0.7230769230769231
66,0.6835164835164835
67,0.6615384615384615
68,0.6483516483516484
69,0.6516483516483517
70,0.6285714285714287
71,0.6647619047619048
72,0.6304761904761904
73,0.6323809523809524
74,0.6628571428571429
75,0.6266666666666667
76,0.6608333333333333
77,0.7008333333333334
78,0.6141666666666666
79,0.6174999999999999
80,0.6375
81,0.6786764705882353
82,0.6933823529411764
83,0.6970588235294117
84,0.6426470588235295
85,0.6823529411764706
86,0.638562091503268
87,0.596078431372549
88,0.6366013071895424
89,0.6398692810457517
90,0.5888888888888889
91,0.6257309941520468
92,0.5964912280701754
93,0.5695906432748539
94,0.607017543859649
95,0.6526315789473683
96,0.6757894736842105
97,0.6484210526315788
98,0.5805263157894737
99,0.5547368421052632
100,0.6699999999999999
101,0.6333333333333334
102,0.6171428571428571
103,0.6704761904761904
104,0.6357142857142858
105,0.6285714285714286
